ablation_type,config_name,round_id,consensus_reached,consensus_value,ground_truth,accuracy,convergence_time_ms,valid_agents_count,detected_byzantine_count,consensus_similarity,api_calls_count,timestamp
CausalFingerprintAblation,baseline,0,true,2.972611371750733,3,0.9908704572502444,19235,10,0,1,20,1771046191
CausalFingerprintAblation,baseline,1,true,178.17228370283067,180,0.9898460205712815,19163,10,0,1,20,1771046210
CausalFingerprintAblation,baseline,2,true,9.831349233763136,11.875,0.8279030933695273,20714,8,0,1,20,1771046230
CausalFingerprintAblation,baseline,3,true,4.9541053771691335,4.5,0.8990876939624148,21871,7,0,1,20,1771046252
CausalFingerprintAblation,baseline,4,true,9.929547683851885,12.5,0.7943638147081508,21341,6,2,0,20,1771046274
CausalFingerprintAblation,no_fingerprint,0,true,2.9110785374057677,3,0.9703595124685892,21253,10,0,1,20,1771046295
CausalFingerprintAblation,no_fingerprint,1,true,179.57206107182486,180,0.9976225615101382,22000,10,0,1,20,1771046317
CausalFingerprintAblation,no_fingerprint,2,true,12.288764693379125,10.625,0.8434103817996117,21082,10,0,1,20,1771046338
CausalFingerprintAblation,no_fingerprint,3,true,6.814238008769863,4.5,0.4857248869400306,21118,10,0,1,20,1771046359
CausalFingerprintAblation,no_fingerprint,4,true,11.02564138077134,11.25,0.9800570116241191,21564,10,0,1,20,1771046381
CausalFingerprintAblation,no_delta,0,true,3.039864709095804,3,0.986711763634732,10330,10,0,1,10,1771046391
CausalFingerprintAblation,no_delta,1,true,189.4411395436238,180,0.9475492247576456,9670,10,0,1,10,1771046401
CausalFingerprintAblation,no_delta,2,true,11.450286476666186,11.875,0.9642346506666262,10346,10,0,1,10,1771046411
CausalFingerprintAblation,no_delta,3,true,6.5690431581797215,6.75,0.9731915789895884,10365,10,0,1,10,1771046421
CausalFingerprintAblation,no_delta,4,true,13.460666296516825,13.75,0.9789575488375872,11758,10,0,1,10,1771046433
