round_id,agent_count,byzantine_count,byzantine_ratio,threshold,consensus_reached,consensus_value,ground_truth,accuracy,convergence_time_ms,consensus_similarity,outlier_count
0,3,0,0.00,0.70,true,102.7146,102.7146,1.0000,0,1.0000,0
1,3,0,0.00,0.70,true,98.7203,98.7203,1.0000,0,1.0000,0
2,3,0,0.00,0.70,true,94.0460,94.0460,1.0000,0,1.0000,0
3,3,0,0.00,0.70,true,97.0430,97.0430,1.0000,0,1.0000,0
4,3,0,0.00,0.70,true,96.4578,96.4578,1.0000,0,1.0000,0
5,3,0,0.00,0.70,true,97.2783,97.2783,1.0000,0,1.0000,0
6,3,0,0.00,0.70,true,101.8276,101.8276,1.0000,0,1.0000,0
7,3,0,0.00,0.70,true,97.6512,97.6512,1.0000,0,1.0000,0
8,3,0,0.00,0.70,true,99.9572,99.9572,1.0000,0,1.0000,0
9,3,0,0.00,0.70,true,100.8658,100.8658,1.0000,0,1.0000,0
10,3,0,0.00,0.70,true,103.5257,103.5257,1.0000,0,1.0000,0
11,3,0,0.00,0.70,true,94.2712,94.2712,1.0000,0,1.0000,0
12,3,0,0.00,0.70,true,101.6033,101.6033,1.0000,0,1.0000,0
13,3,0,0.00,0.70,true,101.2433,101.2433,1.0000,0,1.0000,0
14,3,0,0.00,0.70,true,96.4227,96.4227,1.0000,0,1.0000,0
15,3,0,0.00,0.70,true,97.4405,97.4405,1.0000,0,1.0000,0
16,3,0,0.00,0.70,true,106.0910,106.0910,1.0000,0,1.0000,0
17,3,0,0.00,0.70,true,102.0966,102.0966,1.0000,0,1.0000,0
18,3,0,0.00,0.70,true,98.7711,98.7711,1.0000,0,1.0000,0
19,3,0,0.00,0.70,true,102.7763,102.7763,1.0000,0,1.0000,0
20,3,0,0.00,0.70,true,99.2180,99.2180,1.0000,0,1.0000,0
21,3,0,0.00,0.70,true,97.4491,97.4491,1.0000,0,1.0000,0
22,3,0,0.00,0.70,true,95.8470,95.8470,1.0000,0,1.0000,0
23,3,0,0.00,0.70,true,99.6484,99.6484,1.0000,0,1.0000,0
24,3,0,0.00,0.70,true,97.9726,97.9726,1.0000,0,1.0000,0
25,3,0,0.00,0.70,true,101.8955,101.8955,1.0000,0,1.0000,0
26,3,0,0.00,0.70,true,100.2051,100.2051,1.0000,0,1.0000,0
27,3,0,0.00,0.70,true,102.9175,102.9175,1.0000,0,1.0000,0
28,3,0,0.00,0.70,true,98.1287,98.1287,1.0000,0,1.0000,0
29,3,0,0.00,0.70,true,96.6833,96.6833,1.0000,0,1.0000,0
30,3,0,0.00,0.75,true,106.4913,106.4913,1.0000,0,1.0000,0
31,3,0,0.00,0.75,true,97.5116,97.5116,1.0000,0,1.0000,0
32,3,0,0.00,0.75,true,98.9546,98.9546,1.0000,0,1.0000,0
33,3,0,0.00,0.75,true,100.8275,100.8275,1.0000,0,1.0000,0
34,3,0,0.00,0.75,true,103.8397,103.8397,1.0000,0,1.0000,0
35,3,0,0.00,0.75,true,100.8073,100.8073,1.0000,0,1.0000,0
36,3,0,0.00,0.75,true,99.2007,99.2007,1.0000,0,1.0000,0
37,3,0,0.00,0.75,true,93.1898,93.1898,1.0000,0,1.0000,0
38,3,0,0.00,0.75,true,102.3269,102.3269,1.0000,0,1.0000,0
39,3,0,0.00,0.75,true,95.8549,95.8549,1.0000,0,1.0000,0
40,3,0,0.00,0.75,true,99.6243,99.6243,1.0000,0,1.0000,0
41,3,0,0.00,0.75,true,99.9951,99.9951,1.0000,0,1.0000,0
42,3,0,0.00,0.75,true,98.7152,98.7152,1.0000,0,1.0000,0
43,3,0,0.00,0.75,true,97.4348,97.4348,1.0000,0,1.0000,0
44,3,0,0.00,0.75,true,97.2106,97.2106,1.0000,0,1.0000,0
45,3,0,0.00,0.75,true,92.9672,92.9672,1.0000,0,1.0000,0
46,3,0,0.00,0.75,true,95.5658,95.5658,1.0000,0,1.0000,0
47,3,0,0.00,0.75,true,102.9786,102.9786,1.0000,0,1.0000,0
48,3,0,0.00,0.75,true,102.9811,102.9811,1.0000,0,1.0000,0
49,3,0,0.00,0.75,true,97.9723,97.9723,1.0000,0,1.0000,0
50,3,0,0.00,0.75,true,101.6329,101.6329,1.0000,0,1.0000,0
51,3,0,0.00,0.75,true,96.7213,96.7213,1.0000,0,1.0000,0
52,3,0,0.00,0.75,true,102.6638,102.6638,1.0000,0,1.0000,0
53,3,0,0.00,0.75,true,105.1096,105.1096,1.0000,0,1.0000,0
54,3,0,0.00,0.75,true,92.7075,92.7075,1.0000,0,1.0000,0
55,3,0,0.00,0.75,true,93.3983,93.3983,1.0000,0,1.0000,0
56,3,0,0.00,0.75,true,97.5394,97.5394,1.0000,0,1.0000,0
57,3,0,0.00,0.75,true,103.1189,103.1189,1.0000,0,1.0000,0
58,3,0,0.00,0.75,true,99.4051,99.4051,1.0000,0,1.0000,0
59,3,0,0.00,0.75,true,103.0235,103.0235,1.0000,0,1.0000,0
60,3,0,0.00,0.80,true,103.6476,103.6476,1.0000,0,1.0000,0
61,3,0,0.00,0.80,true,97.3571,97.3571,1.0000,0,1.0000,0
62,3,0,0.00,0.80,true,98.4591,98.4591,1.0000,0,1.0000,0
63,3,0,0.00,0.80,true,95.3786,95.3786,1.0000,0,1.0000,0
64,3,0,0.00,0.80,true,97.4918,97.4918,1.0000,0,1.0000,0
65,3,0,0.00,0.80,true,104.4844,104.4844,1.0000,0,1.0000,0
66,3,0,0.00,0.80,true,101.1955,101.1955,1.0000,0,1.0000,0
67,3,0,0.00,0.80,true,102.5926,102.5926,1.0000,0,1.0000,0
68,3,0,0.00,0.80,true,103.0869,103.0869,1.0000,0,1.0000,0
69,3,0,0.00,0.80,true,100.4232,100.4232,1.0000,0,1.0000,0
70,3,0,0.00,0.80,true,93.9754,93.9754,1.0000,0,1.0000,0
71,3,0,0.00,0.80,true,98.9626,98.9626,1.0000,0,1.0000,0
72,3,0,0.00,0.80,true,100.6638,100.6638,1.0000,0,1.0000,0
73,3,0,0.00,0.80,true,101.2928,101.2928,1.0000,0,1.0000,0
74,3,0,0.00,0.80,true,99.9207,99.9207,1.0000,0,1.0000,0
75,3,0,0.00,0.80,true,98.1693,98.1693,1.0000,0,1.0000,0
76,3,0,0.00,0.80,true,100.1894,100.1894,1.0000,0,1.0000,0
77,3,0,0.00,0.80,true,104.6606,104.6606,1.0000,0,1.0000,0
78,3,0,0.00,0.80,true,104.0966,104.0966,1.0000,0,1.0000,0
79,3,0,0.00,0.80,true,103.5597,103.5597,1.0000,0,1.0000,0
80,3,0,0.00,0.80,true,93.7536,93.7536,1.0000,0,1.0000,0
81,3,0,0.00,0.80,true,97.3012,97.3012,1.0000,0,1.0000,0
82,3,0,0.00,0.80,true,96.9206,96.9206,1.0000,0,1.0000,0
83,3,0,0.00,0.80,true,98.2221,98.2221,1.0000,0,1.0000,0
84,3,0,0.00,0.80,true,98.4985,98.4985,1.0000,0,1.0000,0
85,3,0,0.00,0.80,true,96.3738,96.3738,1.0000,0,1.0000,0
86,3,0,0.00,0.80,true,102.0670,102.0670,1.0000,0,1.0000,0
87,3,0,0.00,0.80,true,97.0849,97.0849,1.0000,0,1.0000,0
88,3,0,0.00,0.80,true,105.4584,105.4584,1.0000,0,1.0000,0
89,3,0,0.00,0.80,true,103.9582,103.9582,1.0000,0,1.0000,0
90,3,0,0.00,0.85,true,103.0247,103.0247,1.0000,0,1.0000,0
91,3,0,0.00,0.85,true,98.2091,98.2091,1.0000,0,1.0000,0
92,3,0,0.00,0.85,true,97.3466,97.3466,1.0000,0,1.0000,0
93,3,0,0.00,0.85,true,99.2422,99.2422,1.0000,0,1.0000,0
94,3,0,0.00,0.85,true,99.5140,99.5140,1.0000,0,1.0000,0
95,3,0,0.00,0.85,true,95.9015,95.9015,1.0000,0,1.0000,0
96,3,0,0.00,0.85,true,101.9036,101.9036,1.0000,0,1.0000,0
97,3,0,0.00,0.85,true,105.6088,105.6088,1.0000,0,1.0000,0
98,3,0,0.00,0.85,true,99.9129,99.9129,1.0000,0,1.0000,0
99,3,0,0.00,0.85,true,98.6036,98.6036,1.0000,0,1.0000,0
100,3,0,0.00,0.85,true,96.1110,96.1110,1.0000,0,1.0000,0
101,3,0,0.00,0.85,true,98.9287,98.9287,1.0000,0,1.0000,0
102,3,0,0.00,0.85,true,103.7794,103.7794,1.0000,0,1.0000,0
103,3,0,0.00,0.85,true,95.0501,95.0501,1.0000,0,1.0000,0
104,3,0,0.00,0.85,true,98.1079,98.1079,1.0000,0,1.0000,0
105,3,0,0.00,0.85,true,95.4870,95.4870,1.0000,0,1.0000,0
106,3,0,0.00,0.85,true,102.5758,102.5758,1.0000,0,1.0000,0
