round_id,agent_count,byzantine_count,threshold,consensus_reached,consensus_value,ground_truth,accuracy,convergence_time_ms,consensus_similarity,api_calls_count,timestamp
0,3,0,0.8,true,95,64.33333333333333,0.5233160621761657,92776,0,9,1770021014
1,3,0,0.85,true,95.00000000000001,64.33333333333333,0.5233160621761654,84890,0,9,1770021099
2,3,0,0.9,true,97.50000000000001,66,0.5227272727272725,89443,0,9,1770021188
3,3,1,0.8,true,95.00000000000001,95,0.9999999999999999,91467,0,9,1770021279
4,3,1,0.85,true,95,95,1,89482,0,9,1770021369
5,3,1,0.9,true,95,95,1,91820,0,9,1770021461
6,3,1,0.8,true,95,95,1,95589,0,9,1770021556
7,3,1,0.85,true,95,95,1,95584,0,9,1770021652
8,3,1,0.9,true,95,95,1,90498,0,9,1770021742
9,5,0,0.8,true,125,76.2,0.3595800524934384,152222,0,15,1770021895
